image_url,artwork_id,artist_id,title,artist,category,year,museum,material,genre,art_type,movement
http://commons.wikimedia.org/wiki/Special:FilePath/Turner%20-%20Rain%2C%20Steam%20and%20Speed%20-%20National%20Gallery%20file.jpg?width=400,a1b70cbdbee3,f622d541e6ce,"Rain, Steam and Speed – The Great Western Railway",J. M. W. Turner,Painting,1843,National Gallery,oil paint,Unknown,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/El%20dos%20de%20mayo%20de%201808%20en%20Madrid.jpg?width=400,484d61597cb0,632c129420ae,The Second of May 1808,Francisco Goya,Painting,1814,Museo del Prado,oil paint,history painting,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20The%20Balcony%20-%20Google%20Art%20Project.jpg?width=400,f9607fb15001,5442d89c3e3e,The Balcony,Édouard Manet,Painting,1868,Musée d'Orsay,oil paint,genre art,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fortune%20Teller-Caravaggio%20%28Louvre%29.jpg?width=400,d7fbf7446305,204f6137b921,The Fortune Teller,Caravaggio,Painting,1594,Louvre Museum,oil paint,genre art,artwork copy,Italian Baroque painting
http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20%281577-1640%29%20De%20kruisoprichting%20-%20Onze-Lieve-Vrouwekathedraal%20%28Antwerpen%29%2012-07-2010%2014-49-48.JPG?width=400,3de052b47917,88e7d24b91bd,The Elevation of the Cross,Peter Paul Rubens,Painting,1610,Louvre Museum,oil paint,religious art,triptych,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Zanobi-Altar.jpg?width=400,8d1985311b5e,e7d01fa8d73a,Adoration of the Magi,Sandro Botticelli,Painting,1475-1500,Uffizi Gallery,tempera,religious art,painting,Early Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%20-%20Madonna%20and%20Child%20with%20Angels%2C%20known%20as%20the%20Madonna%20with%20the%20Long%20Neck.jpg?width=400,bfd61a3ee6e3,0bc23d4de36f,Madonna with the Long Neck,Parmigianino,Painting,1530,Uffizi Gallery,oil paint,religious art,painting,Mannerism
http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%2C%20Johannes%20-%20Woman%20reading%20a%20letter%20-%20ca.%201662-1663.jpg?width=400,2b1988d4291d,bbdeaf783d50,Woman in Blue Reading a Letter,Johannes Vermeer,Painting,1664,Rijksmuseum,oil paint,genre art,painting,Dutch Golden Age painting
http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder-%20The%20Harvesters%20-%20Google%20Art%20Project.jpg?width=400,b3021eb7ed0b,97978697dae2,The Harvesters,Pieter Brueghel the Elder,Painting,1565,Metropolitan Museum of Art,oil paint,genre art,painting,Northern Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Sargent%20MadameX.jpeg?width=400,0a52ccc32261,e515235c4c88,Madame X (Virginie Amélie Avegno Gautreau),John Singer Sargent,Painting,1884,Metropolitan Museum of Art,oil paint,portrait,painting,academic art
http://commons.wikimedia.org/wiki/Special:FilePath/Washington%20Crossing%20the%20Delaware%20MET%20DP215410.jpg?width=400,4ae9a54ef11e,242293c3af88,Washington Crossing the Delaware,Emanuel Leutze,Painting,1851,Metropolitan Museum of Art,oil paint,history painting,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/William%20Bouguereau%20-%20Dante%20and%20Virgile%20-%20Google%20Art%20Project%202.jpg?width=400,5452f7eb7e1a,6e28362be16f,Dante and Virgil in Hell,William-Adolphe Bouguereau,Painting,1850,Musée d'Orsay,oil paint,nude,painting,academic art
http://commons.wikimedia.org/wiki/Special:FilePath/RouenCathedral%20Monet%201894.jpg?width=400,06d3180be6ae,5c37529dab98,Rouen Cathedral Series,Claude Monet,Painting,1892-1893,Musée d'Orsay,oil paint,architectural view,painting series,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Whitehousenight.jpg?width=400,3d38d88e3a14,4ba53b228e0f,White House at Night,Vincent van Gogh,Painting,1890,Hermitage Museum,oil paint,landscape painting,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Sanzio%20Raffaello%20-%20Visione%20del%20cavaliere%20%28circa%201504%29.jpg?width=400,42e06caaaacd,84fc7720d5e7,The Dream of a Knight,Raphael,Painting,1504,National Gallery,oil paint,mythological painting,painting,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio.jpg?width=400,07bda540c4f9,84fc7720d5e7,Self-portrait,Raphael,Painting,1505,Uffizi Gallery,tempera,self-portrait,painting,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20019.jpg?width=400,d0d68f812359,bbdeaf783d50,Woman with a Water Jug,Johannes Vermeer,Painting,1660,Metropolitan Museum of Art,oil paint,portrait,painting,Dutch Golden Age painting
http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20V%20en%20M%C3%BChlberg%2C%20by%20Titian%2C%20from%20Prado%20in%20Google%20Earth.jpg?width=400,05b8e43fddc8,3af3fc517091,Equestrian Portrait of Charles V,Titian,Painting,1548,Museo del Prado,oil paint,equestrian portrait,painting,Venetian school
http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%20-%20Flora%20-%20Google%20Art%20Project.jpg?width=400,f28d06fa0b10,3af3fc517091,Flora,Titian,Painting,1517,Uffizi Gallery,oil paint,mythological painting,painting,Venetian school
http://commons.wikimedia.org/wiki/Special:FilePath/Hieronymus%20Bosch-%20The%20Seven%20Deadly%20Sins%20and%20the%20Four%20Last%20Things.JPG?width=400,af2c1e3e84f5,cadc412b5b2a,The Seven Deadly Sins and the Four Last Things,Hieronymus Bosch,Painting,1500,Museo del Prado,oil paint,religious art,painting,Early Netherlandish painting
http://commons.wikimedia.org/wiki/Special:FilePath/Turner%2C%20J.%20M.%20W.%20-%20The%20Fighting%20T%C3%A9m%C3%A9raire%20tugged%20to%20her%20last%20Berth%20to%20be%20broken.jpg?width=400,f2ac743692e3,f622d541e6ce,The Fighting Temeraire,J. M. W. Turner,Painting,1834,National Gallery,oil paint,marine art,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/Cleomene%20di%20Apollodoro%2C%20venere%20medici%2C%20I%20secolo%20ac%20ca.jpg?width=400,9c68b732093e,7865d311438f,Venus de' Medici,Cleomenes,Painting,-005,Uffizi Gallery,marble,nude,statue,Hellenistic sculpture
http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Jardin%20%C3%A0%20Sainte-Adresse.jpg?width=400,f87d71b52c17,5c37529dab98,Garden at Sainte-Adresse,Claude Monet,Painting,1867,Metropolitan Museum of Art,oil paint,genre art,painting,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20024.jpg?width=400,042dda9bec73,5c37529dab98,Women in the Garden,Claude Monet,Painting,1866,Musée d'Orsay,oil paint,portrait,painting,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Velazquez%20-%20%D0%97%D0%B0%D0%B2%D1%82%D1%80%D0%B0%D0%BA%20-%20Google%20Art%20Project.jpg?width=400,788c9559cfc8,c5ca99e07715,The Lunch,Diego Velázquez,Painting,1617,Hermitage Museum,oil paint,genre art,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20-%20Aristotle%20with%20a%20Bust%20of%20Homer%20-%20WGA19232.jpg?width=400,ea37e1788091,2302b94ee10c,Aristotle with a Bust of Homer,Rembrandt,Painting,1653,Metropolitan Museum of Art,oil paint,history painting,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Angelo%20Bronzino%20-%20Venus%2C%20Cupid%2C%20Folly%20and%20Time%20-%20National%20Gallery%2C%20London.jpg?width=400,0e9575fbb9a7,edda3ff91dbb,"Venus, Cupid, Folly and Time",Bronzino,Painting,1545,National Gallery,oil paint,allegory,painting,Mannerism
http://commons.wikimedia.org/wiki/Special:FilePath/Woman%20with%20a%20Parrot%20MET%20DT43.jpg?width=400,e6b52da1e71c,4211369afbd3,Woman with a Parrot,Gustave Courbet,Painting,1866,Metropolitan Museum of Art,oil paint,nude,painting,academic art
http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20056.jpg?width=400,0354262d0e6a,dda4bdf782e5,Tahitian Women on the Beach,Paul Gauguin,Painting,1890,Musée d'Orsay,oil paint,portrait,painting,Post-impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Renoir%20-%20Young%20Girls%20at%20the%20Piano%20-%20Google%20Art%20Project.jpg?width=400,be1e47ffd3ec,5e9bd79d710b,Girls at the Piano,Pierre-Auguste Renoir,Painting,1892,Musée d'Orsay,oil paint,portrait,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/MANET%20-%20M%C3%BAsica%20en%20las%20Tuller%C3%ADas%20%28National%20Gallery%2C%20Londres%2C%201862%29.jpg?width=400,be17d602c430,5442d89c3e3e,Music in the Tuileries,Édouard Manet,Painting,1862,National Gallery,oil paint,genre art,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Boy%20Bitten%20by%20a%20Lizard.jpg?width=400,93a1ed5b31fb,204f6137b921,Boy Bitten by a Lizard,Caravaggio,Painting,1594,National Gallery,oil paint,genre art,painting,Italian Baroque painting
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Musicians%20MET%20DP-687-001.jpg?width=400,e48b6701025e,204f6137b921,The Musicians,Caravaggio,Painting,1595,Metropolitan Museum of Art,oil paint,portrait,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Jheronimus%20Bosch%20-%20De%20hooiwagen%20%28c.1516%2C%20Prado%29.jpg?width=400,6df33cdcb348,cadc412b5b2a,The Haywain Triptych,Hieronymus Bosch,Painting,1510,Museo del Prado,oil paint,religious art,painting,Early Netherlandish painting
http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Caillebotte%20-%20Paris%20Street%2C%20Rainy%20Day%20-%201964.336%20-%20Art%20Institute%20of%20Chicago.jpg?width=400,a0d4d4ba50a5,5484beb68468,Paris Street; Rainy Day,Gustave Caillebotte,Painting,1877,Art Institute of Chicago,oil paint,cityscape,painting,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Cabanel%20-%20The%20Birth%20of%20Venus%20-%20Google%20Art%20Project%202.jpg?width=400,5976a5c279fe,a091b1b36e06,The Birth of Venus,Alexandre Cabanel,Painting,1863-1875,Musée d'Orsay,oil paint,nude,painting,academic art
