artist,artwork,year,location,image_url,artwork_id,artist_id,category,museum,material,genre,art_type,movement
Diego Velázquez,The Waterseller of Seville,1620,Apsley House,http://commons.wikimedia.org/wiki/Special:FilePath/El%20aguador%20de%20Sevilla%2C%20por%20Diego%20Vel%C3%A1zquez.jpg?width=400,56c1dfc367a8,c5ca99e07715,Painting,United Kingdom,oil paint,still life,painting,Baroque
Diego Velázquez,Aesop,1640,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Vel%C3%A1zquez%20-%20Esopo%20%28Museo%20del%20Prado%2C%201639-41%29.jpg?width=400,2e7f793ee057,c5ca99e07715,Painting,Museo del Prado,oil paint,portrait,painting,Unknown
Francisco Goya,The Third of May 1808,1814,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20Los%20fusilamientos%20del%20tres%20de%20mayo%20-%201814.jpg?width=400,73a6c9f8b666,632c129420ae,Painting,Museo del Prado,oil paint,history painting,painting,Romanticism
Francisco Goya,Saturn Devouring His Son,1823,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%2C%20Saturno%20devorando%20a%20su%20hijo%20%281819-1823%29.jpg?width=400,de460a2811b1,632c129420ae,Painting,Museo del Prado,wall,mythological painting,painting,Romanticism
Francisco Goya,The Clothed Maja,1800,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20Maja%20ubrana2.jpg?width=400,176a53c72a96,632c129420ae,Painting,Museo del Prado,oil paint,portrait,painting,Unknown
Francisco Goya,Charles IV of Spain and His Family,1801,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/La%20familia%20de%20Carlos%20IV%2C%20por%20Francisco%20de%20Goya.jpg?width=400,cbfad83fd1d2,632c129420ae,Painting,Museo del Prado,oil paint,group portrait,painting,Romanticism
Francisco Goya,Witches' Sabbath,1798,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Aquelarre.jpg?width=400,a63ebc89b8f3,632c129420ae,Painting,Museo del Prado,oil paint,genre art,painting,Romanticism
Francisco Goya,The Dog,1823,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20Dog.jpg?width=400,104fced6c462,632c129420ae,Painting,Museo del Prado,oil paint,landscape painting,painting,Unknown
Francisco Goya,The Disasters of War,1810,Various Collections,http://commons.wikimedia.org/wiki/Special:FilePath/Goya-Guerra%20%2802%29.jpg?width=400,ed0c3963002f,632c129420ae,Painting,Spain,Unknown,Unknown,series of prints,Romanticism
Francisco Goya,The Milkmaid of Bordeaux,1827,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20MilkMaid.jpg?width=400,275cc4cc5044,632c129420ae,Painting,Museo del Prado,oil paint,portrait,painting,Neoclassicism
El Greco,The Burial of the Count of Orgaz,1586,Iglesia de Santo Tomé (Toledo),http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20-%20The%20Burial%20of%20the%20Count%20of%20Orgaz.JPG?width=400,3e996dc18b3c,adc912503525,Painting,Church of Santo Tomé,oil paint,group portrait,painting,Mannerism
El Greco,View of Toledo,1596,Metropolitan Museum of Art,http://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20Toledo%20MET%20DP349564.jpg?width=400,db5582e50de4,adc912503525,Painting,Metropolitan Museum of Art,oil paint,landscape painting,painting,Mannerism
El Greco,The Disrobing of Christ,1577,Toledo Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Expolio%2C%20por%20El%20Greco.jpg?width=400,1611b3289325,adc912503525,Painting,Toledo Cathedral,oil paint,religious art,painting,Unknown
El Greco,Opening of the Fifth Seal,1608,Metropolitan Museum of Art,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%2C%20The%20Vision%20of%20Saint%20John%20%281608-1614%29.jpg?width=400,cfcac6e90aec,adc912503525,Painting,Metropolitan Museum of Art,oil paint,religious art,painting,Mannerism
El Greco,The Holy Trinity,1577,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Trinidad%20%28El%20Greco%2C%201577-1579%29.jpg?width=400,f0c8348e6078,adc912503525,Painting,Museo del Prado,oil paint,religious art,painting,Unknown
